OCC_TITLE,O_GROUP,A_MEAN
All Occupations,total,"58,260"
Management Occupations,major,"123,370"
Top Executives,minor,"120,520"
Chief Executives,broad,"213,020"
Chief Executives,detailed,"213,020"
General and Operations Managers,broad,"115,250"
General and Operations Managers,detailed,"115,250"
Legislators,broad,"57,110"
Legislators,detailed,"57,110"
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"145,130"
Advertising and Promotions Managers,broad,"142,860"
Advertising and Promotions Managers,detailed,"142,860"
Marketing and Sales Managers,broad,"146,600"
Marketing Managers,detailed,"153,440"
Sales Managers,detailed,"142,390"
Public Relations and Fundraising Managers,broad,"132,800"
Public Relations Managers,detailed,"138,000"
Fundraising Managers,detailed,"119,400"
Operations Specialties Managers,minor,"139,900"
Administrative Services and Facilities Managers,broad,"109,590"
Administrative Services Managers,detailed,"113,030"
Facilities Managers,detailed,"101,970"
Computer and Information Systems Managers,broad,"162,930"
Computer and Information Systems Managers,detailed,"162,930"
Financial Managers,broad,"153,460"
Financial Managers,detailed,"153,460"
Industrial Production Managers,broad,"117,780"
Industrial Production Managers,detailed,"117,780"
Purchasing Managers,broad,"134,590"
Purchasing Managers,detailed,"134,590"
"Transportation, Storage, and Distribution Managers",broad,"105,580"
"Transportation, Storage, and Distribution Managers",detailed,"105,580"
Compensation and Benefits Managers,broad,"139,470"
Compensation and Benefits Managers,detailed,"139,470"
Human Resources Managers,broad,"136,590"
Human Resources Managers,detailed,"136,590"
Training and Development Managers,broad,"128,800"
Training and Development Managers,detailed,"128,800"
Other Management Occupations,minor,"107,230"
"Farmers, Ranchers, and Other Agricultural Managers",broad,"78,440"
"Farmers, Ranchers, and Other Agricultural Managers",detailed,"78,440"
Construction Managers,broad,"108,210"
Construction Managers,detailed,"108,210"
Education and Childcare Administrators,broad,"99,280"
"Education and Childcare Administrators, Preschool and Daycare",detailed,"53,800"
"Education Administrators, Kindergarten through Secondary",detailed,"102,650"
"Education Administrators, Postsecondary",detailed,"111,260"
"Education Administrators, All Other",detailed,"94,730"
Architectural and Engineering Managers,broad,"158,970"
Architectural and Engineering Managers,detailed,"158,970"
Food Service Managers,broad,"63,970"
Food Service Managers,detailed,"63,970"
Entertainment and Recreation Managers,broad,"76,430"
Gambling Managers,detailed,"89,190"
"Entertainment and Recreation Managers, Except Gambling",detailed,"73,810"
Lodging Managers,broad,"67,770"
Lodging Managers,detailed,"67,770"
Medical and Health Services Managers,broad,"119,840"
Medical and Health Services Managers,detailed,"119,840"
Natural Sciences Managers,broad,"156,110"
Natural Sciences Managers,detailed,"156,110"
Postmasters and Mail Superintendents,broad,"81,820"
Postmasters and Mail Superintendents,detailed,"81,820"
"Property, Real Estate, and Community Association Managers",broad,"70,030"
"Property, Real Estate, and Community Association Managers",detailed,"70,030"
Social and Community Service Managers,broad,"76,790"
Social and Community Service Managers,detailed,"76,790"
Emergency Management Directors,broad,"84,800"
Emergency Management Directors,detailed,"84,800"
Personal Service Managers,broad,"74,360"
Funeral Home Managers,detailed,"82,900"
"Personal Service Managers, All Other",detailed,"59,580"
Miscellaneous Managers,broad,"129,710"
"Managers, All Other",detailed,"129,710"
Business and Financial Operations Occupations,major,"82,610"
Business Operations Specialists,minor,"80,380"
"Agents and Business Managers of Artists, Performers, and Athletes",broad,"116,410"
"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"116,410"
Buyers and Purchasing Agents,broad,"72,540"
Buyers and Purchasing Agents,detailed,"72,540"
"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"70,850"
"Claims Adjusters, Examiners, and Investigators",detailed,"70,960"
"Insurance Appraisers, Auto Damage",detailed,"68,180"
Compliance Officers,broad,"75,810"
Compliance Officers,detailed,"75,810"
Cost Estimators,broad,"73,740"
Cost Estimators,detailed,"73,740"
Human Resources Workers,broad,"71,210"
Human Resources Specialists,detailed,"70,720"
Farm Labor Contractors,detailed,"54,400"
Labor Relations Specialists,detailed,"77,070"
Logisticians and Project Management Specialists,broad,"94,530"
Logisticians,detailed,"79,230"
Project Management Specialists,detailed,"98,420"
Management Analysts,broad,"100,530"
Management Analysts,detailed,"100,530"
"Meeting, Convention, and Event Planners",broad,"57,850"
"Meeting, Convention, and Event Planners",detailed,"57,850"
Fundraisers,broad,"64,870"
Fundraisers,detailed,"64,870"
"Compensation, Benefits, and Job Analysis Specialists",broad,"73,810"
"Compensation, Benefits, and Job Analysis Specialists",detailed,"73,810"
Training and Development Specialists,broad,"67,620"
Training and Development Specialists,detailed,"67,620"
Market Research Analysts and Marketing Specialists,broad,"76,080"
Market Research Analysts and Marketing Specialists,detailed,"76,080"
Miscellaneous Business Operations Specialists,broad,"79,240"
"Business Operations Specialists, All Other",detailed,"79,240"
Financial Specialists,minor,"87,350"
Accountants and Auditors,broad,"83,980"
Accountants and Auditors,detailed,"83,980"
Property Appraisers and Assessors,broad,"70,050"
Property Appraisers and Assessors,detailed,"70,050"
Budget Analysts,broad,"84,240"
Budget Analysts,detailed,"84,240"
Credit Analysts,broad,"88,030"
Credit Analysts,detailed,"88,030"
Financial Analysts and Advisors,broad,"106,340"
Financial and Investment Analysts,detailed,"103,020"
Personal Financial Advisors,detailed,"119,960"
Insurance Underwriters,detailed,"79,940"
Financial Risk Specialists,detailed,"110,610"
Financial Examiners,broad,"96,180"
Financial Examiners,detailed,"96,180"
Credit Counselors and Loan Officers,broad,"78,040"
Credit Counselors,detailed,"50,430"
Loan Officers,detailed,"80,570"
"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"55,750"
"Tax Examiners and Collectors, and Revenue Agents",detailed,"63,200"
Tax Preparers,detailed,"51,080"
Miscellaneous Financial Specialists,broad,"80,370"
"Financial Specialists, All Other",detailed,"80,370"
Computer and Mathematical Occupations,major,"99,860"
Computer Occupations,minor,"99,620"
Computer and Information Analysts,broad,"104,840"
Computer Systems Analysts,detailed,"102,210"
Information Security Analysts,detailed,"113,270"
Computer and Information Research Scientists,broad,"142,650"
Computer and Information Research Scientists,detailed,"142,650"
Computer Support Specialists,broad,"60,550"
Computer Network Support Specialists,detailed,"71,350"
Computer User Support Specialists,detailed,"57,650"
Database and Network Administrators and Architects,broad,"102,440"
Computer Network Architects,detailed,"120,650"
Database Administrators,detailed,"96,550"
Database Architects,detailed,"121,840"
Network and Computer Systems Administrators,detailed,"91,250"
"Software and Web Developers, Programmers, and Testers",broad,"113,720"
Computer Programmers,detailed,"96,650"
Software Developers,detailed,"120,990"
Software Quality Assurance Analysts and Testers,detailed,"97,710"
Web Developers,detailed,"81,320"
Web and Digital Interface Designers,detailed,"95,460"
Miscellaneous Computer Occupations,broad,"98,180"
"Computer Occupations, All Other",detailed,"98,180"
Mathematical Science Occupations,minor,"103,800"
Actuaries,broad,"125,300"
Actuaries,detailed,"125,300"
Mathematicians,broad,"112,430"
Mathematicians,detailed,"112,430"
Operations Research Analysts,broad,"95,830"
Operations Research Analysts,detailed,"95,830"
Statisticians,broad,"99,450"
Statisticians,detailed,"99,450"
Data Scientists,broad,"108,660"
Data Scientists,detailed,"108,660"
Miscellaneous Mathematical Science Occupations,broad,"77,960"
"Mathematical Science Occupations, All Other",detailed,"77,960"
Architecture and Engineering Occupations,major,"91,740"
"Architects, Surveyors, and Cartographers",minor,"82,880"
"Architects, Except Naval",broad,"89,400"
"Architects, Except Landscape and Naval",detailed,"91,900"
Landscape Architects,detailed,"74,980"
"Surveyors, Cartographers, and Photogrammetrists",broad,"69,870"
Cartographers and Photogrammetrists,detailed,"73,510"
Surveyors,detailed,"68,880"
Engineers,minor,"104,000"
Aerospace Engineers,broad,"122,970"
Aerospace Engineers,detailed,"122,970"
Agricultural Engineers,broad,"87,350"
Agricultural Engineers,detailed,"87,350"
Bioengineers and Biomedical Engineers,broad,"101,020"
Bioengineers and Biomedical Engineers,detailed,"101,020"
Chemical Engineers,broad,"121,840"
Chemical Engineers,detailed,"121,840"
Civil Engineers,broad,"95,490"
Civil Engineers,detailed,"95,490"
Computer Hardware Engineers,broad,"136,230"
Computer Hardware Engineers,detailed,"136,230"
Electrical and Electronics Engineers,broad,"110,670"
Electrical Engineers,detailed,"107,890"
"Electronics Engineers, Except Computer",detailed,"115,490"
Environmental Engineers,broad,"100,220"
Environmental Engineers,detailed,"100,220"
"Industrial Engineers, Including Health and Safety",broad,"95,520"
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"99,700"
Industrial Engineers,detailed,"95,200"
Marine Engineers and Naval Architects,broad,"97,820"
Marine Engineers and Naval Architects,detailed,"97,820"
Materials Engineers,broad,"101,950"
Materials Engineers,detailed,"101,950"
Mechanical Engineers,broad,"97,000"
Mechanical Engineers,detailed,"97,000"
"Mining and Geological Engineers, Including Mining Safety Engineers",broad,"100,450"
"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"100,450"
Nuclear Engineers,broad,"121,760"
Nuclear Engineers,detailed,"121,760"
Petroleum Engineers,broad,"145,720"
Petroleum Engineers,detailed,"145,720"
Miscellaneous Engineers,broad,"107,800"
"Engineers, All Other",detailed,"107,800"
"Drafters, Engineering Technicians, and Mapping Technicians",minor,"62,420"
Drafters,broad,"61,680"
Architectural and Civil Drafters,detailed,"60,620"
Electrical and Electronics Drafters,detailed,"67,090"
Mechanical Drafters,detailed,"62,650"
"Drafters, All Other",detailed,"58,330"
"Engineering Technologists and Technicians, Except Drafters",broad,"64,600"
Aerospace Engineering and Operations Technologists and Technicians,detailed,"73,510"
Civil Engineering Technologists and Technicians,detailed,"58,000"
Electrical and Electronic Engineering Technologists and Technicians,detailed,"69,070"
Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,"63,880"
Environmental Engineering Technologists and Technicians,detailed,"56,590"
Industrial Engineering Technologists and Technicians,detailed,"61,230"
Mechanical Engineering Technologists and Technicians,detailed,"63,390"
Calibration Technologists and Technicians,detailed,"62,800"
"Engineering Technologists and Technicians, Except Drafters, All Other",detailed,"68,290"
Surveying and Mapping Technicians,broad,"49,810"
Surveying and Mapping Technicians,detailed,"49,810"
"Life, Physical, and Social Science Occupations",major,"80,730"
Life Scientists,minor,"93,190"
Agricultural and Food Scientists,broad,"79,970"
Animal Scientists,detailed,"80,390"
Food Scientists and Technologists,detailed,"84,150"
Soil and Plant Scientists,detailed,"76,290"
Biological Scientists,broad,"93,970"
Biochemists and Biophysicists,detailed,"113,460"
Microbiologists,detailed,"87,820"
Zoologists and Wildlife Biologists,detailed,"70,300"
"Biological Scientists, All Other",detailed,"90,010"
Conservation Scientists and Foresters,broad,"68,080"
Conservation Scientists,detailed,"68,230"
Foresters,detailed,"67,710"
Medical Scientists,broad,"102,830"
Epidemiologists,detailed,"86,740"
"Medical Scientists, Except Epidemiologists",detailed,"104,050"
Miscellaneous Life Scientists,broad,"94,430"
"Life Scientists, All Other",detailed,"94,430"
Physical Scientists,minor,"96,340"
Astronomers and Physicists,broad,"150,510"
Astronomers,detailed,"139,410"
Physicists,detailed,"151,580"
Atmospheric and Space Scientists,broad,"96,880"
Atmospheric and Space Scientists,detailed,"96,880"
Chemists and Materials Scientists,broad,"90,330"
Chemists,detailed,"89,130"
Materials Scientists,detailed,"104,790"
Environmental Scientists and Geoscientists,broad,"86,980"
"Environmental Scientists and Specialists, Including Health",detailed,"81,240"
"Geoscientists, Except Hydrologists and Geographers",detailed,"103,550"
Hydrologists,detailed,"94,780"
Miscellaneous Physical Scientists,broad,"113,220"
"Physical Scientists, All Other",detailed,"113,220"
Social Scientists and Related Workers,minor,"90,810"
Economists,broad,"120,830"
Economists,detailed,"120,830"
Survey Researchers,broad,"64,690"
Survey Researchers,detailed,"64,690"
Psychologists,broad,"92,100"
Industrial-Organizational Psychologists,detailed,"113,320"
Clinical and Counseling Psychologists,detailed,"99,640"
School Psychologists,detailed,"82,770"
"Psychologists, All Other",detailed,"98,010"
Sociologists,broad,"96,260"
Sociologists,detailed,"96,260"
Urban and Regional Planners,broad,"81,310"
Urban and Regional Planners,detailed,"81,310"
Miscellaneous Social Scientists and Related Workers,broad,"89,840"
Anthropologists and Archeologists,detailed,"66,800"
Geographers,detailed,"86,740"
Historians,detailed,"72,130"
Political Scientists,detailed,"120,430"
"Social Scientists and Related Workers, All Other",detailed,"90,900"
"Life, Physical, and Social Science Technicians",minor,"53,890"
Agricultural and Food Science Technicians,broad,"46,240"
Agricultural Technicians,detailed,"44,850"
Food Science Technicians,detailed,"47,870"
Biological Technicians,broad,"51,770"
Biological Technicians,detailed,"51,770"
Chemical Technicians,broad,"55,040"
Chemical Technicians,detailed,"55,040"
Environmental Science and Geoscience Technicians,broad,"53,830"
"Environmental Science and Protection Technicians, Including Health",detailed,"50,550"
"Geological Technicians, Except Hydrologic Technicians",detailed,"59,080"
Hydrologic Technicians,detailed,"71,760"
Nuclear Technicians,broad,"95,200"
Nuclear Technicians,detailed,"95,200"
Social Science Research Assistants,broad,"56,430"
Social Science Research Assistants,detailed,"56,430"
Forest and Conservation Technicians,broad,"43,420"
Forest and Conservation Technicians,detailed,"43,420"
"Miscellaneous Life, Physical, and Social Science Technicians",broad,"57,880"
Forensic Science Technicians,detailed,"66,850"
"Life, Physical, and Social Science Technicians, All Other",detailed,"55,420"
Occupational Health and Safety Specialists and Technicians,minor,"75,150"
Occupational Health and Safety Specialists and Technicians,broad,"75,150"
Occupational Health and Safety Specialists,detailed,"78,740"
Occupational Health and Safety Technicians,detailed,"57,560"
Community and Social Service Occupations,major,"53,960"
"Counselors, Social Workers, and Other Community and Social Service Specialists",minor,"53,950"
Counselors,broad,"56,410"
"Educational, Guidance, and Career Counselors and Advisors",detailed,"63,090"
Marriage and Family Therapists,detailed,"59,660"
Rehabilitation Counselors,detailed,"44,740"
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,"53,490"
"Counselors, All Other",detailed,"49,730"
Social Workers,broad,"57,880"
"Child, Family, and School Social Workers",detailed,"54,880"
Healthcare Social Workers,detailed,"62,310"
Mental Health and Substance Abuse Social Workers,detailed,"57,800"
"Social Workers, All Other",detailed,"63,010"
Miscellaneous Community and Social Service Specialists,broad,"47,380"
Health Education Specialists,detailed,"64,930"
Probation Officers and Correctional Treatment Specialists,detailed,"63,290"
Social and Human Service Assistants,detailed,"40,460"
Community Health Workers,detailed,"47,780"
"Community and Social Service Specialists, All Other",detailed,"50,510"
Religious Workers,minor,"54,340"
Clergy,broad,"57,230"
Clergy,detailed,"57,230"
"Directors, Religious Activities and Education",broad,"52,880"
"Directors, Religious Activities and Education",detailed,"52,880"
