AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"58,260",0.1,11.53,14.4,22,32.98,49.43,"23,980","29,950","45,760","68,590","102,810",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"123,370",0.3,23.01,35.92,49.25,77.39,#,"47,860","74,710","102,450","160,960",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,"120,520",0.4,19.84,29.28,47.46,77.18,#,"41,260","60,900","98,720","160,540",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,"213,020",0.8,28.99,53.4,86.31,#,#,"60,300","111,080","179,520",#,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"213,020",0.8,28.99,53.4,86.31,#,#,"60,300","111,080","179,520",#,#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,"115,250",0.4,20.8,29.18,47.1,72.96,#,"43,260","60,690","97,970","151,750",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"115,250",0.4,20.8,29.18,47.1,72.96,#,"43,260","60,690","97,970","151,750",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1030,Legislators,broad,"57,110",1.8,*,*,*,*,*,"17,850","22,880","37,270","78,510","100,580",TRUE,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,"57,110",1.8,*,*,*,*,*,"17,850","22,880","37,270","78,510","100,580",TRUE,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"145,130",0.4,30.42,45.74,61.62,85.27,#,"63,270","95,140","128,160","177,360",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,10-Nov,Advertising and Promotions Managers,broad,"142,860",1.9,29.45,45.2,61.13,82.79,#,"61,250","94,020","127,150","172,210",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-Nov,Advertising and Promotions Managers,detailed,"142,860",1.9,29.45,45.2,61.13,82.79,#,"61,250","94,020","127,150","172,210",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,20-Nov,Marketing and Sales Managers,broad,"146,600",0.4,30.46,45.93,62.18,89.95,#,"63,350","95,530","129,330","187,100",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,21-Nov,Marketing Managers,detailed,"153,440",0.5,37.35,48.08,64.92,92.56,#,"77,680","100,010","135,030","192,520",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,22-Nov,Sales Managers,detailed,"142,390",0.4,29.37,40.6,61.3,83.18,#,"61,090","84,450","127,490","173,010",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,30-Nov,Public Relations and Fundraising Managers,broad,"132,800",0.7,30.26,39.37,57.62,78.37,#,"62,940","81,880","119,860","163,000",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-32,Public Relations Managers,detailed,"138,000",0.9,31.73,45.51,60.47,79.24,#,"66,000","94,660","125,780","164,830",#,,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-33,Fundraising Managers,detailed,"119,400",0.8,29.04,37.1,48.47,72.56,98.29,"60,400","77,170","100,810","150,920","204,430",,
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-00,Operations Specialties Managers,minor,"139,900",0.2,35.21,45.99,61.13,79.74,#,"73,230","95,660","127,140","165,860",#,,
